,img_name,label_name
1,엔트러사이트한남1,"Swimming pool,Property,Building,Architecture,Leisure,House,Leisure centre,Resort,Interior design,Glass"
2,엔트러사이트한남2,"Sky,Rainbow,Urban area,Metropolitan area,City,Cloud,Daytime,Metropolis,Cityscape,Human settlement"
3,엔트러사이트한남3,"Latte,Flat white,Caffè macchiato,Caffeine,Cortado,Coffee,Café au lait,Mocaccino,White coffee,Coffee cup"
4,엔트러사이트한남4,"Yellow,Cut flowers,Flower,Plant,Still life photography,Bouquet,Floristry,Still life,Floral design,Flower Arranging"
5,엔트러사이트한남5,"Yellow,Fashion,Leg,Room,Textile,Long hair,Fashion design,Sitting,Jeans,Photography"
6,엔트러사이트한남6,"Room,Window,Furniture,Interior design,Table,Glass,Desk,Window treatment,Plant,Houseplant"
7,엔트러사이트한남7,"Food,Dish,Cuisine,Fast food,Ingredient,Comfort food,Junk food,Vegan nutrition,Produce,Sandwich"
8,엔트러사이트한남8,"Dog,Vertebrate,Canidae,Mammal,Maltepoo,Toy Poodle,Dog breed,Miniature Poodle,Poodle,Companion dog"
9,엔트러사이트한남9,"Food,Chocolate,Cuisine,Non-alcoholic beverage,Ingredient,Cup,Chocolate milk,Dish,Dessert,Hot chocolate"
10,엔트러사이트한남10,"Flowerpot,Mason jar,Tree,Plant,Houseplant,Crock"
11,엔트러사이트한남11,"Face,Hair,Forehead,Eyebrow,Chin,Cheek,Nose,Hairstyle,Jaw,Black hair"
12,엔트러사이트한남12,"Wall,Text,Font,Wood,Concrete,Beige"
13,엔트러사이트한남13,"Dish,Food,Cuisine,Pizza,Flatbread,Ingredient,Leaf vegetable,Goat cheese,Spinach,Arugula"
14,엔트러사이트한남14,"Green,Flowerpot,Houseplant,Flower,Plant,Botany,Table,Floristry,Vascular plant,Room"
15,엔트러사이트한남15,"Drink,Cup,Coffee,Food,Oliang,Cup,Iced coffee,Coffee cup,Non-alcoholic beverage,Caffè americano"
16,엔트러사이트한남16,"Serveware,Porcelain,Table,Saucer,Tableware,Dishware,Coffee table,Tray,Circle,Dinnerware set"
17,엔트러사이트한남17,"Flat white,Coffee,Latte,Ristretto,Cortado,Cup,Caffè macchiato,Single-origin coffee,Café au lait,Caffeine"
18,엔트러사이트한남18,"Serveware,Espresso,Cup,Tray,Saucer,Coffee,Cappuccino,Table,Coffee cup,Cup"
19,엔트러사이트한남19,"Wall,Architecture,Grass,Table,Concrete,Plant,Road,Furniture,House,Metal"
20,엔트러사이트한남20,"Cardboard,Carton,Box"
21,엔트러사이트한남21,"Food,Ingredient,Iced coffee,Dish,Cuisine,Drink,Comfort food,Coffee,Breakfast,Tea"
22,엔트러사이트한남22,"Architecture,Furniture,Wall,Building,Table,Tree,Room,House,City,Interior design"
23,엔트러사이트한남23,"Architecture,Building,Room,Interior design,Ceiling,Furniture"
24,엔트러사이트한남24,"Dish,Food,Cuisine,Ingredient,Junk food,Brunch,Comfort food,Staple food,Produce,Side dish"
25,엔트러사이트한남25,"Dish,Food,Cuisine,Ingredient,Drink,Brunch,Dessert,Fried food,Breakfast,Tea"
26,엔트러사이트한남26,"Dish,Food,Cuisine,Meal,Ingredient,Drunken chicken,Thanksgiving dinner,Peking duck,Roasting,Hendl"
27,엔트러사이트한남27,"Face,Hair,Lip,Eyebrow,Skin,Chin,Nose,Cheek,Forehead,Beauty"
28,엔트러사이트한남28,"Caffè macchiato,Ristretto,Cortado,Espresso,Coffee,Food,Wiener melange,Caffeine,Flat white,Cuban espresso"
29,엔트러사이트한남29,"Wall,Brick,Yellow,Brickwork,Line,Beige,Stone wall,Furniture,Rectangle,Metal"
30,엔트러사이트한남30,"Wall,Room,Tile,Floor,Wallpaper,Interior design,Architecture,Material property,Tree,Plaster"
31,엔트러사이트한남31,"Electronic signage,Neon sign,Neon,Signage,Font,Night,Led display,Building,Sign,Display device"
32,엔트러사이트한남32,"Vehicle,Car,Driving,Mode of transport,Mid-size car,Family car,Steering wheel,Technology,Head restraint,Electronics"
33,엔트러사이트한남33,"Drink,Food,Irish cream,Iced coffee,Milk punch,Non-alcoholic beverage,Horchata,Ingredient"
34,엔트러사이트한남34,"Drink,Food,Coffee,Oliang,Cup,Cup,Iced coffee,Cuisine,Coffee cup,Non-alcoholic beverage"
35,엔트러사이트한남35,"Toy,Action figure"
36,엔트러사이트한남36,"Ristretto,Espresso,Cup,Cortado,Café au lait,Cup,Coffee cup,Flat white,Caffè macchiato,Coffee"
37,엔트러사이트한남37,"Wood,Furniture,Shoe"
38,엔트러사이트한남38,"Dish,Food,Cuisine,Ingredient,Meal,Brunch,Produce,Lunch,Breakfast,Recipe"
39,엔트러사이트한남39,"Text,Font,Paper,Design,Material property,Brochure,Document"
40,엔트러사이트한남40,"Swimming pool,Property,Building,Architecture,Leisure,House,Leisure centre,Resort,Interior design,Glass"
41,엔트러사이트한남41,"Sky,Rainbow,Urban area,Metropolitan area,City,Cloud,Daytime,Metropolis,Cityscape,Human settlement"
42,엔트러사이트한남42,"Latte,Flat white,Caffè macchiato,Caffeine,Cortado,Coffee,Café au lait,Mocaccino,White coffee,Coffee cup"
43,엔트러사이트한남43,"Yellow,Cut flowers,Flower,Plant,Still life photography,Bouquet,Floristry,Still life,Floral design,Flower Arranging"
44,엔트러사이트한남44,"Yellow,Fashion,Leg,Room,Textile,Long hair,Fashion design,Sitting,Jeans,Photography"
45,엔트러사이트한남45,"Room,Window,Furniture,Interior design,Table,Glass,Desk,Window treatment,Plant,Houseplant"
46,엔트러사이트한남46,"Food,Dish,Cuisine,Fast food,Ingredient,Comfort food,Junk food,Vegan nutrition,Produce,Sandwich"
47,엔트러사이트한남47,"Table,Coffee cup,Serveware,Furniture,Coffee,Dishware,Tableware,À la carte food,Breakfast,Food"
48,엔트러사이트한남48,"Cup,Cup,Coffee cup,Caffeine,Drink,Caffè americano,Coffee,Kapeng barako,Technology,Electronic device"
49,엔트러사이트한남49,"Property,Wall,Building,Architecture,Lighting,Brickwork,Brick,Real estate,Iron,Interior design"
50,엔트러사이트한남50,"Room,Interior design,Property,Window,Furniture,Building,Shade,Daylighting,Architecture,Ceiling"
51,엔트러사이트한남51,"Urban area,Metropolitan area,Sky,City,Daytime,Cityscape,Human settlement,Downtown,Town,Metropolis"
52,엔트러사이트한남52,"Fashion,Plant,Houseplant"
53,엔트러사이트한남53,"Wall,Standing,Tree,Denim,Door,Architecture,Photography,Tourism,Vacation,Beige"
54,엔트러사이트한남54,"Food,Brunch,Drink,Caffè americano,Caffeine,Cuisine,Dish,Coffee,Coffee cup,Breakfast"
55,엔트러사이트한남55,"Food,Cup,Cuisine,Dish,Drink,Coffee cup,Drinkware"
56,엔트러사이트한남56,"Food,Meal,Dish,Ingredient,Brunch,Cuisine,Breakfast,Drink,Lunch,Juice"
57,엔트러사이트한남57,"Dish,Food,Cuisine,Ingredient,Comfort food,Produce,Staple food,Meatloaf,Breakfast,Brunch"
58,엔트러사이트한남58,"Font,Chocolate,Sweetness,Food"
59,엔트러사이트한남59,"Countertop,Furniture,Wall,Wood,Table,Room,Hardwood,Building,Floor,Wood stain"
60,엔트러사이트한남60,"Flowerpot,Houseplant,Plant,Cup,Recycling bin,Tumbler,Drink,Square,Metal"
61,엔트러사이트한남61,"Interior design,Room,Wall,Table,Floor,Design,Furniture,Building,Architecture,Houseplant"
62,엔트러사이트한남62,"Sky,Room,Table,Iron,House,Interior design,Architecture,Meal,Urban area,Furniture"
63,엔트러사이트한남63,"Room,Architecture,Interior design,Ceiling,Plant,Black-and-white,Furniture,Building"
64,엔트러사이트한남64,"Food,Dish,Coffee,Cuisine,Drink,Caffè americano,Ingredient,Caffeine,Flat white,Marocchino"
65,엔트러사이트한남65,"Dish,Food,Cuisine,Ingredient,Dessert,Choux pastry,Produce,Staple food,Baked goods,Brunch"
66,엔트러사이트한남66,"Food,Dish,Cuisine,Ingredient,Breakfast,Brunch,Orange juice,Dessert,Coffee,Produce"
67,엔트러사이트한남67,"Dish,Food,Cuisine,Ingredient,Cannoli,Breakfast,Produce,Meal,Dessert,Mole sauce"
68,엔트러사이트한남68,"Architecture,Sky,Tree,Building,Road,Urban design,Real estate,Residential area,Concrete,Landscape"
69,엔트러사이트한남69,"Dog,Canidae,Dog clothes,Bichon frisé,Dog breed,Bichon,Companion dog,Toy Poodle,Puppy,Maltese"
70,엔트러사이트한남70,"Material property,Hand,Paper"
71,엔트러사이트한남71,"Swimming pool,Property,Building,Architecture,Leisure,House,Leisure centre,Resort,Interior design,Glass"
72,엔트러사이트한남72,"Sky,Rainbow,Urban area,Metropolitan area,City,Cloud,Daytime,Metropolis,Cityscape,Human settlement"
73,엔트러사이트한남73,"Latte,Flat white,Caffè macchiato,Caffeine,Cortado,Coffee,Café au lait,Mocaccino,White coffee,Coffee cup"
74,엔트러사이트한남74,"Yellow,Cut flowers,Flower,Plant,Still life photography,Bouquet,Floristry,Still life,Floral design,Flower Arranging"
75,엔트러사이트한남75,"Yellow,Fashion,Leg,Room,Textile,Long hair,Fashion design,Sitting,Jeans,Photography"
76,엔트러사이트한남76,"Room,Window,Furniture,Interior design,Table,Glass,Desk,Window treatment,Plant,Houseplant"
77,엔트러사이트한남77,"Food,Dish,Cuisine,Fast food,Ingredient,Comfort food,Junk food,Vegan nutrition,Produce,Sandwich"
78,엔트러사이트한남78,"Cup,Cup,Coffee cup,Drinkware,Material property,Tableware,Teacup,Beige,Ceiling,Ceramic"
79,엔트러사이트한남79,"White,Black,Black-and-white,Monochrome photography,Monochrome,Photography,Illustration,Stock photography,Style,Art"
80,엔트러사이트한남80,Rock
81,엔트러사이트한남81,"Light,Darkness,Room,Night,House,Tree,Window,Building"
82,엔트러사이트한남82,"Building,Architecture,Furniture,Floor,Flooring,Interior design,Metal"
83,엔트러사이트한남83,"Food,Coffee,Drink,Espresso,Dish,Cuisine,Turkish coffee,Caffè americano,Table,Breakfast"
84,엔트러사이트한남84,"Houseplant,Green,Plant,Leaf,Flowerpot,Botany,Flower,Tree,Room,Monstera deliciosa"
85,엔트러사이트한남85,"White,Flower,Plant,Leaf,Houseplant,Flowerpot,Black-and-white"
86,엔트러사이트한남86,"Building,Architecture,House,Window,Home,Facade,Porch,Mixed-use"
87,엔트러사이트한남87,"Food,Cuisine,Dish,Bakery,Ingredient,Baking,Pâtisserie,Delicacy,Dessert,Sweetness"
88,엔트러사이트한남88,"Drink,Iced coffee,Coffee,Frappé coffee,Table,Distilled beverage,Glass,Vietnamese iced coffee,Food,Stout"
89,엔트러사이트한남89,"Building,Architecture,Facade,Urban area,Mixed-use,Real estate,City,Window,House,Glass"
90,엔트러사이트한남90,"Morning,Tree,Architecture,Table,Font,Plant,Concrete,Urban design,Toilet,Square"
91,엔트러사이트한남91,"Green,Plant,Grass,Leaf,Sunlight,Flower,Window,Shrub,Tree,House"
92,엔트러사이트한남92,"Flower,Plant,Houseplant,Leaf,Botany,Anthurium,Flowering plant,Cactus,House,Alismatales"
93,엔트러사이트한남93,"Coffee,Breakfast,Food,Table,Coffee cup,Brunch,Drink,Caffeine,Meal,Coffeehouse"
94,엔트러사이트한남94,"Ceiling,Architecture,Interior design,Room,Sky,Building,Tree,House,Shade,Plant"
95,엔트러사이트한남95,"Sweetness,Food,Dessert,Milkshake,Frozen dessert,Cream,Marshmallow creme"
96,엔트러사이트한남96,"Sky,Tree,Daytime,Vegetation,Green,Leaf,Atmospheric phenomenon,Branch,Woody plant,Cloud"
97,엔트러사이트한남97,"Table,Design,Plastic,Tree,Furniture,Square,Architecture,Soil,Concrete,Metal"
98,엔트러사이트한남98,"Food,Dish,Coffee,Cuisine,Cappuccino,Wiener melange,Café au lait,Flat white,Breakfast,Brunch"
